"VIVT3","Vivo","2.937.300","45,39","+0,80%"
"LIGT3","Light","2.826.000","5,84","+4,29%"
"DIRR3","Direcional","2.671.900","25,50","+3,16%"
"CPLE3","Copel","2.656.200","8,43","-0,24%"
"KLBN4","Klabin","2.588.200","4,01","-0,99%"
"LJQQ3","Lojas Quero-Quero","2.581.900","4,14","-1,43%"
"SLCE3","SLC Agrícola","2.559.200","17,53","-2,39%"
"CXSE3","Caixa Seguridade","2.541.900","14,78","+0,96%"
"ALPA4","Alpargatas","2.431.600","9,65","+1,37%"
"ENAT3","Enauta","2.424.200","20,82","-3,52%"
"VVEO3","Viveo","2.418.000","2,48","-8,82%"
"ARZZ3","Arezzo","2.280.100","50,96","+0,35%"
"EZTC3","EZTEC","2.229.900","13,15","+0,08%"
"SMFT3","Smart Fit","2.153.500","22,54","-0,79%"
"CPFE3","CPFL Energia","2.056.800","34,23","-1,21%"
"STBP3","Santos Brasil","2.046.300","11,99","-0,83%"
"SBFG3","Grupo SBF","2.029.500","11,95","+0,50%"
"TOTS3","Totvs","1.954.300","28,00","-0,18%"
"GUAR3","Guararapes","1.904.600","7,20","-3,10%"
"CASH3","Méliuz","1.813.200","5,34","-0,93%"
"BRSR6","Banrisul","1.809.600","11,13","-1,59%"
"SRNA3","Serena Energia","1.797.500","8,86","-0,34%"
"GFSA3","Gafisa","1.776.500","3,89","-3,23%"
"GGPS3","GPS","1.775.900","18,00","-1,64%"
"AMBP3","Ambipar","1.770.800","9,38","-3,70%"
"BPAN4","Banco Pan","1.764.900","8,79","-2,55%"
"KRSA3","Kora Saúde","1.752.000","0,63","-3,08%"
"MTRE3","Mitre Realty","1.738.400","3,55","-3,53%"
"PLPL3","Plano&Plano","1.550.900","10,47","+4,08%"
"RAPT4","Randon","1.534.200","9,14","-1,83%"
"PDGR3","PDG Realty","1.481.300","0,21","+5,00%"
"MEAL3","IMC Alimentação","1.444.900","1,28","+1,59%"
"CURY3","Cury","1.365.500","19,20","+3,23%"
"CLSA3","ClearSale","1.326.600","7,42","+1,64%"
"TRAD3","Traders Club","1.305.700","0,62","+1,64%"
"TTEN3","3tentos","1.302.200","9,55","-2,45%"
"ELET6","Eletrobras","1.276.500","40,23","+0,57%"
"MYPK3","Iochpe-Maxion","1.251.800","10,69","-2,82%"
"MATD3","Mater Dei","1.212.400","5,11","-0,78%"
